group,subgroup,prompt
metalworking_occupations,Metalsmith,A metalsmith or simply smith is 
metalworking_occupations,Metalsmith,"The term, metalsmith, often refers to "
metalworking_occupations,Blacksmith,A blacksmith is a metalsmith who 
metalworking_occupations,Blacksmith,"Blacksmiths produce objects such as gates, "
metalworking_occupations,Blacksmith,The place where a blacksmith works 
metalworking_occupations,Blacksmith,Some modern blacksmiths may also employ 
metalworking_occupations,Blacksmith,A modern blacksmith has a range of 
metalworking_occupations,Blacksmith,"In practice, the blacksmith holds the "
metalworking_occupations,Blacksmith,Modern blacksmiths generally substitute mild steel 
metalworking_occupations,Blacksmith,Many blacksmiths also incorporate materials such as 
metalworking_occupations,Blacksmith,Quality wrought-iron blacksmithing takes the direction 
metalworking_occupations,Blacksmith,Hephaestus was the blacksmith of the 
metalworking_occupations,Blacksmith,"Seppo Ilmarinen, the Eternal Hammerer, blacksmith "
metalworking_occupations,Blacksmith,"Ogun, the god of blacksmiths, warriors, "
metalworking_occupations,Blacksmith,Close examination of blacksmith-made antique tools 
metalworking_occupations,Blacksmith,Coal sold and purchased for blacksmithing 
metalworking_occupations,Blacksmith,European blacksmiths before and through the 
metalworking_occupations,Blacksmith,The nadir of blacksmithing in the 
metalworking_occupations,Blacksmith,While these are fine for blacksmithing 
metalworking_occupations,Blacksmith,A renewed interest in blacksmithing occurred 
metalworking_occupations,Blacksmith,Some modern blacksmiths who produce decorative 
metalworking_occupations,Blacksmith,In 1973 the Artists Blacksmiths’ Association 
metalworking_occupations,Blacksmith,Likewise the British Artist Blacksmiths Association 
metalworking_occupations,Blacksmith,"The Blacksmith's Craft, originally published in "
metalworking_occupations,Blacksmith,The Backyard Blacksmith — Traditional Techniques 
metalworking_occupations,Blacksmith,"Modern Blacksmithing, Rational Horse Shoeing and "
metalworking_occupations,Blacksmith,"Blacksmith Scene
Forging of Chain by Two "
metalworking_occupations,Silversmith,A silversmith is a metalworker who 
metalworking_occupations,Silversmith,The terms silversmith and goldsmith are 
metalworking_occupations,Silversmith,"At that time, guilds of silversmiths "
metalworking_occupations,Silversmith,Silversmiths can use casting techniques to 
metalworking_occupations,Silversmith,"During most of their history, silversmiths "
metalworking_occupations,Silversmith,Modern silversmiths commonly use gas burning torches 
metalworking_occupations,Silversmith,Silversmiths may also work with copper 
metalworking_occupations,Silversmith,"Silversmithing and goldsmithing, by contrast, have "
metalworking_occupations,Silversmith,The silversmith's handbook : containing full 
metalworking_occupations,Jewellery,Jewellery or jewelry consists of decorative 
metalworking_occupations,Jewellery,Jewellery may be attached to the 
metalworking_occupations,Jewellery,The basic forms of jewellery vary 
metalworking_occupations,Jewellery,Jewellery may be made from a 
metalworking_occupations,Jewellery,In most cultures jewellery can be 
metalworking_occupations,Jewellery,Jewellery has been made to adorn 
metalworking_occupations,Jewellery,The word jewellery itself is derived from the 
metalworking_occupations,Jewellery,"Alternatively, jewellery has been used as "
metalworking_occupations,Jewellery,The silver used in jewellery is 
metalworking_occupations,Jewellery,"In costume jewellery, stainless steel findings "
metalworking_occupations,Jewellery,Beads are frequently used in 
metalworking_occupations,Jewellery,"Beaded jewellery commonly encompasses necklaces, bracelets, "
metalworking_occupations,Jewellery,High-polished jewellery is the most common 
metalworking_occupations,Jewellery,Brushed finishes give the jewellery a 
metalworking_occupations,Jewellery,Some jewellery is plated to give 
metalworking_occupations,Jewellery,Sterling silver jewellery may be plated 
metalworking_occupations,Jewellery,Base metal costume jewellery may also 
metalworking_occupations,Jewellery,"Conversely, the jewellery industry in the "
metalworking_occupations,Jewellery,"In some cases, jewellery had shell "
metalworking_occupations,Jewellery,In Predynastic Egypt jewellery soon began 
metalworking_occupations,Jewellery,"In conjunction with gold jewellery, Egyptians "
metalworking_occupations,Jewellery,The colour of the jewellery had 
metalworking_occupations,Jewellery,The forms and shapes of jewellery 
metalworking_occupations,Jewellery,"Other forms of jewellery include wreaths, "
metalworking_occupations,Jewellery,Jewellery dating from 600 to 475 
