group,subgroup,prompt
male,Jacob_Zachar,Jacob Zachar is an American actor whose 
male,Frank_Zagarino,"Frank Zagarino is an American actor, star "
male,John_Zaremba,John Zaremba was an American actor most 
male,Michael_Zarnock,Michael Zarnock is an American writer of 
male,Adrian_Zaw,Adrian Zaw is an American actor best 
male,Terrance_Zdunich,"Terrance Zdunich  is an American artist, "
male,Alfred_Zeisler,Alfred Zeisler was an American-born German film 
male,Enzo_Zelocchi,"Enzo Zelocchi is an Italian/American, Hollywood film "
male,John_Zenda,John Zenda was an American actor who 
male,John_Zibell,John Zibell is an independent actor/writer/director who 
male,Wolfgang_Zilzer,Wolfgang Zilzer was an American stage and 
male,Wolfgang_Zilzer,Wolfgang Zilzer died in Berlin on June 
male,Efrem_Zimbalist_Jr.,Efrem Zimbalist Jr. was an American actor known 
male,Joey_Zimmerman,"He is sometimes credited as Joey Zimmerman, "
male,Steve_Zissis,"Steve Zissis
is an American actor, screenwriter and "
male,Bob_Zmuda,"Bob Zmuda is an American writer, comedian, "
male,Bob_Zmuda,"On camera, the character of Bob Zmuda "
male,Adam_Zolotin,"Adam Zolotin is an American actor, best "
male,Michael_Zorek,Michael Zorek is an American film and 
male,Daniel_Zovatto,Daniel Zovatto is a Costa Rican American 
male,Albert_Zugsmith,"Albert Zugsmith was an American film producer, "
male,Jim_Zulevic,"Jim Zulevic was an American actor, improvisational "
male,Alan_Zweibel,"Alan Zweibel is an American television writer, "
male,Chris_Zylka,Chris Zylka is an American actor and 
male,Brian_Sacca,Brian Sacca is an American actor/writer/producer who 
male,Michael_Sacks,Michael Sacks is an American actor and 
male,Alan_Sader,"Alan Sader is an American TV, film, "
male,Thomas_Sadoski,"Thomas Sadoski is an American stage, film, "
male,Thomas_Sadoski,"Publisher's Weekly agreed saying: ""Thomas Sadoski provides "
male,Reza_Sixo_Safai,"Reza Sixo Safai is an American director, actor "
male,Jack_Sahakian,Jack Sahakian became the first born grandson 
male,Jack_Sahakian,Jack Sahakian died at age 64 of 
male,Raymond_St._Jacques,"Raymond St. Jacques was an American actor, director "
male,Harold_Sakata,"Harold Sakata, born Toshiyuki Sakata was a "
male,Greg_Salata,"""Jeffrey Hawkins, James Murtaugh, Greg Salata Cast "
male,Kario_Salem,"Kario Salem, is an American television, film, "
male,Matt_Salinger,"His widow, Colleen O'Neill, and Matt Salinger "
male,Monroe_Salisbury,Monroe Salisbury died at age 59 from 
male,John_Salley,"Salley hosted The John Salley Block Party, "
male,John_Salley,~ John SalleySalley is an entrepreneur in 
male,John_Salley,John Salley is a member of Omega 
male,Albert_Salmi,Albert Salmi was an American actor of 
male,Jack_Salvatore_Jr.,Jack Salvatore Jr. is an American writer’s production 
male,Sammy_Blum,Sammy Blum was an American character actor 
male,Will_Sampson,"The Aboriginal Multi-Media Society
Will Sampson at Find "
male,Russell_Sams,Russell Sams is an American film actor 
male,Edwin_San_Juan,Edwin San Juan is a Filipino American actor 
male,Marco_Sanchez,"Marco Sanchez is an American actor, producer, "
male,Otto_Sanchez,Otto Sanchez is an American actor best 
male,Tony_Sancho,Tony Sancho is a stage and film 
male,Tony_Sancho,Tony Sancho has a background on the 
male,Paul_Sand,Paul Sand is an American actor and 
male,Walter_Sande,"Walter Sande was an American character actor, "
male,Ian_Sander,"For the cricketer, see Ian Sanders.Ian Sander "
male,Aaron_Sanders,"Aaron Sanders is an American actor, known "
male,C._J._Sanders,C. J. Sanders is an American football wide 
male,William_Sanderson,William Sanderson is an American character actor 
male,Ethan_Sandler,"Ethan Sandler is an American actor, film "
male,Steve_Sandor,Steve Sandor was an actor who made 
male,Nick_Sandow,"Nick Sandow is an American actor, writer, "
male,Johnny_Sands,Johnny Sands was an American film and 
male,Erskine_Sanford,Erskine Sanford was an American actor on 
male,Merlin_Santana,Merlin Santana was an American actor and 
male,Andrew_Santino,"Andrew Santino is an American stand-up comedian, "
male,Fred_Santley,"Fred Santley, also known variously as Freddie "
male,Joseph_Santley,"In 1906, at age seventeen, Joseph Santley "
male,Joseph_Santley,"In 1929, Joseph Santley co-directed, with Robert "
male,Joseph_Santley,"During World War II, Joseph Santley worked "
male,Joseph_Santley,Joseph Santley died in 1971 in Los 
male,Reni_Santoni,"Reni Santoni is an American film, television "
male,Davi_Santos,"Davi Santos is a Brazilian-born American actor, "
male,Joe_Santos,Joe Santos was an Italian-American film and 
male,Al_Sapienza,"Al Sapienza is an American actor, who "
male,Dick_Sargent,He took the name Dick Sargent from 
male,Bob_Sarlatte,"Bob Sarlatte is an American comedian, actor "
male,Patrick_Sarniak,"Patrick Sarniak is an American musician, songwriter "
male,Peter_Sarsgaard,"""Q&A - Peter Sarsgaard Caught in Orphan's "
male,Gailard_Sartain,"Gailard Sartain is an American former actor, "
male,Paul_Satterfield,"He is the son of Paul Satterfield, "
male,Brad_Savage,Brad Savage is an American actor best 
male,George_Savalas,"George Savalas, under his real name, also "
male,Stelio_Savante,Stelio Savante is a South African-born New 
male,Gus_Saville,Gus Saville was an American silent film 
male,Jimmy_Savo,"Jimmy Savo was an American Vaudeville, Broadway, "
male,Jimmy_Savo,"""Jimmy Savo; di Famiglia Lucana originaria di "
male,Hartley_Sawyer,"Hartley Sawyer is an American actor, producer "
male,John_Saxon,John Saxon is an American actor and 
male,John_Saxon,John Saxon is proficient in Judo and 
male,Rolf_Saxon,Rolf Saxon is an American actor and 
male,Raphael_Sbarge,"Raphael Sbarge is an American actor, director "
male,Don_Scardino,Don Scardino is an American television director 
male,Hal_Scardino,Hal Scardino is an American actor and 
male,Paul_Scardon,"Paul Scardon was an actor, a producer, "
male,Christopher_Schaap,"Christopher Schaap is an American actor, director "
male,Fritz_Schade,Fritz Schade was a German-born American film 
male,Johnathon_Schaech,"Johnathon Schaech is an American actor, writer "
male,Eric_Schaeffer,"Eric Schaeffer is an American actor, writer "
male,Daniel_Joseph_Schafer,"Daniel Joseph Schafer is an American pop, country "
male,Robert_Scheerer,Robert Scheerer was an American film and 
male,Richard_Schiff,Richard Schiff is an American actor and 
male,Rudolph_Schildkraut,Rudolph Schildkraut was an Austrian film and 
male,William_G._Schilling,William G. Schilling was an American actor of 
male,Zander_Schloss,"Zander Schloss is an American musician, actor "
male,Ned_Schmidtke,Ned Schmidtke is an American film and 
male,Jonathan_Schmock,"Jonathan Schmock is an American actor, television "
male,Paul_Schoeffler,"Paul Schoeffler is a Canadian stage, film, "
male,Aaron_Schoenke,Aaron Schoenke is an American film and 
male,Aaron_Schoenke,The Valiant Universe Aaron Schoenke as Master 
male,Kevin_Schon,"Kevin Schon is an American actor, voice "
male,Liev_Schreiber,"Isaac Liev Schreiber is an American actor, "
male,Ricky_Schroder,"His production company, Ricky Schroder Productions, has "
male,John_Schuck,Conrad John Schuck Jr. is an American 
male,Lenny_Schultz,Lenny Schultz is an American retired comedian 
male,Hans_Schumm,Hans Schumm was Agnes' second of three 
male,Hans_Schumm,"Gloria, again, divorced Hans Schumm January 11, "
male,Harry_Schumm,Harry Schumm was an American silent film 
male,Maurice_Schwartz,"Maurice Schwartz, born Avram Moishe Schwartz, born "
male,Robert_Schwartzman,"Robert Schwartzman released his first solo album, "
male,Ralph_Taeger,Ralph Taeger was an American actor who 
male,Faran_Tahir,Faran Tahir grew up in Pakistan and 
male,Scott_Takeda,"Scott Takeda is an American actor, filmmaker "
male,Steve_Talley,Steve Talley is an American actor who 
male,Bob_Tallman,Bob Tallman born Robert Matthew Tallman is 
male,Richard_Talmadge,"Richard Talmadge was a German-born actor, stuntman "
male,Tim_Talman,"Tim Talman is an American stage, film, "
male,Johnny_Tammaro,Johnny Tammaro is an Italian-American actor and 
male,Frank_Tang,"Frank Tang was a Chinese-American character actor, "
male,Richard_Tanne,"Richard Tanne is an American film director, "
male,Gerald_Tannebaum,Gerald Tannebaum was an American humanitarian and 
male,William_Tannen,William Tannen was an American actor originally 
male,Robert_Emmett_Tansey,"Robert Emmett Tansey was an American actor, screenwriter, "
male,Quentin_Tarantino,"In 2006, another ""Quentin Tarantino presents"" production, "
male,Quentin_Tarantino,"In 1999, Quentin Tarantino was also linked "
male,Tony_Tarantino,Tony Tarantino is an American actor and 
male,Tony_Tarantino,"In a 2017 interview, Tony Tarantino spoke "
male,Tony_Tarantino,"Shocked, Tony Tarantino claims he punched Willson "
male,Tony_Tarantino,"The fact that Tony Tarantino, Quentin's father, "
male,Tony_Tarantino,"Tony Tarantino responded, saying he had relatives "
male,Glenn_Taranto,Glenn Taranto is an American actor and 
male,Jeremy_Tardy,Jeremy Tardy is an American actor best 
male,Le_Tari,Le Tari was an American actor who 
male,Drew_Tarver,Andrew Tarver is an American actor and 
male,Eric_Taslitz,Eric Taslitz is an American actor best 
male,Jay_Tavare,Jay Tavare  is an American actor 
male,Ronald_Tavel,"Ronald Tavel was an American screenwriter, director, "
male,Daniel_Tay,Daniel Tay is an American actor best 
male,Henry_E._Taylor_III,"Henry E. Taylor III is an American actor, host, "
male,James_Arnold_Taylor,"James Arnold Taylor is an American voice actor, "
male,Joshua_Taylor,Joshua Taylor is a film and television 
male,Kent_Taylor,Kent Taylor was an American actor of 
male,Kent_Taylor,"Along with Clark Gable, Kent Taylor served "
male,Lawrence_Taylor,His son Lawrence Taylor Jr. gave his 
male,Robin_Lord_Taylor,Robin Lord Taylor is an American film and 
male,Lou_Tellegen,Lou Tellegen was a Dutch-born stage and 
male,Nino_Tempo,"Nino Tempo is an American musician, singer, "
male,Nino_Tempo,"Nino Tempo was born in Niagara Falls, "
male,Nino_Tempo,"However, Nino Tempo is known best for "
male,Harry_Tenbrook,"Under the stage name, Harry Tenbrook, he "
male,William_Tepper,William Tepper was an American actor and 
male,Max_Terhune,Max Terhune was an American film actor 
male,Leonard_Termo,Leonard Termo was an American character actor 
male,Don_Terry,"Don Terry was an American film actor, "
male,Jonathan_Terry,Jonathan Terry  is a television and 
male,Michael_Grant_Terry,"Michael Grant Terry is an American actor, known "
male,Phillip_Terry,Phillip Terry appeared in more than eighty 
male,Phillip_Terry,... During [her marriage to Phillip Terry] 
male,Arthur_Thalasso,Arthur Thalasso was an American stage actor 
male,Russell_Thaw,Russell Thaw was treated indifferently by Harry 
male,Jack_Thibeau,Jack Thibeau is an American film and 
male,Robin_Thicke,Lewis has often put Robin Thicke in 
male,Robin_Thicke,"Later that year, Robin Thicke released his "
male,Robin_Thicke,"""At the age of 14, Robin Thicke "
male,Roy_Thinnes,Roy Thinnes is an American television and 
male,Danny_Thomas,"Danny Thomas was an American nightclub comedian, "
male,Danny_Thomas,I was still filming The Danny Thomas 
male,Danny_Thomas,I asked Danny Thomas if he would 
male,Danny_Thomas,The Danny Thomas Forever Stamp shows an 
male,Eddie_Kaye_Thomas,Eddie Kaye Thomas is an American actor who 
male,Jake_Thomas,"Jake Thomas is an American actor, voice "
male,Jay_Thomas,"Jay Thomas was an American actor, comedian, "
male,Jonathan_Taylor_Thomas,Jonathan Taylor Thomas is an American actor and 
male,Khleo_Thomas,"Khleo Thomas, is an American actor, rapper, "
male,Philip_Michael_Thomas,Philip Michael Thomas is an American retired actor 
male,Robin_Thomas,"Robin Thomas is an American film, television "
male,Rohn_Thomas,"Rohn Thomas is an American actor, based "
male,Sean_Patrick_Thomas,"But after Sean Patrick Thomas recorded the role, "
male,Charles_P._Thompson,"Charles P. Thompson was an American stage, film, "
male,Fred_Thompson,"According to the Memphis Commercial Appeal:

Fred Thompson "
male,Fred_Thompson,Fred Thompson was endorsed by the Virginia 
male,Kenan_Thompson,Kenan Thompson is an American actor and 
male,Marshall_Thompson,James Marshall Thompson was an American film 
male,Kevin_Thoms,Kevin Thoms is an American television/film actor 
male,Ken_Thorley,Ken Thorley is an actor who has 
