text,source,TOXICITY,IDENTITY_ATTACK,INSULT,THREAT
Good idea ,elonmusk,0.061922558,0.042306427,0.027806196,0.123179294
"Hate to say it, but might be true ",elonmusk,0.12689142,0.06019062,0.060133085,0.20002788
"Update probably in Q2. Cybertruck will be built at Giga Texas, so focus right now is on getting that beast built. ",elonmusk,0.24003603,0.091484465,0.3020859,0.16382648
Great review! Neuralink is open to working with neuroscientists to advance the field. Short-term goal is addressing brain &amp; spine problems. Ultimate goal is symbiosis of human &amp; machine intelligence. ,elonmusk,0.21270247,0.12945083,0.24687175,0.16511747
It’s true ,elonmusk,0.027614046,0.01643126,0.010235957,0.039925274
Only if Doge can’t do it. Big pain in the neck to create another one. ,elonmusk,0.25371578,0.09832705,0.15267822,0.70749545
"If you’ve worked on advanced wearables, phones or robots, those skills are needed ",elonmusk,0.059454005,0.029447254,0.031247446,0.14926106
Starship will enable humanity to become a multiplanet species ,elonmusk,0.094212756,0.112035505,0.062085807,0.20003706
Yup ,elonmusk,0.023843085,0.015546752,0.009307202,0.037407573
True ,elonmusk,0.03378105,0.019852644,0.01328221,0.047289245
"Cybertruck can have any color you want, so long as it’s nothing ",elonmusk,0.27426502,0.27689257,0.2442522,0.19961505
Hopefully tomorrow ,elonmusk,0.05076395,0.026178993,0.020408995,0.10727261
"Good progress. Applying information theory to currency (which is just information), lower fees reduce noise &amp; faster &amp; more consistent sync time improve latency &amp; jitter. ",elonmusk,0.059026968,0.042509053,0.029781606,0.058073744
Your app sucks ,elonmusk,0.9327057,0.41360852,0.88225204,0.1361204
Stage Zero ,elonmusk,0.036746822,0.026125228,0.0150664905,0.05343979
Absolutely ,elonmusk,0.058137126,0.037331823,0.025142448,0.07198493
Starbase will grow by several thousand people over the next year or two ,elonmusk,0.06603951,0.055323534,0.043989837,0.08749648
🤣 ,elonmusk,0.04422757,0.025492689,0.016540442,0.059073903
Sure ,elonmusk,0.028329518,0.017740173,0.009795084,0.04625806
Might work ,elonmusk,0.07014918,0.049216352,0.037400313,0.08841166
"Well-written and fair, much like his articles on space ",elonmusk,0.15402177,0.094781615,0.13261975,0.15848948
"When even someone in California, home of Silicon Valley, needs Internet so bad that they bolt a Starlink dish to the hood of their car, you know there’s a serious unmet need! ",elonmusk,0.14534214,0.08183555,0.16955063,0.06473397
LASIK has improved so many people’s lives! ,elonmusk,0.1195944,0.07373217,0.09000009,0.2708767
"Priority for residents of Brandenburg &amp; Berlin, but also open to general public ",elonmusk,0.19129679,0.22384016,0.18175554,0.37176576
As requested ,elonmusk,0.052967805,0.03202385,0.023167126,0.0706178
"“No better friend, no worse enemy” ",elonmusk,0.20780514,0.14718015,0.19658175,0.24530278
"It’s true, x is a toddler hodler. Never once has he said sell! ",elonmusk,0.1445643,0.12667999,0.13240077,0.08049689
This is a major problem! ,elonmusk,0.1168564,0.06823039,0.07004681,0.07595993
New &amp; improved version! ,elonmusk,0.07361119,0.056248553,0.026963284,0.18362318
CGI IRL ,elonmusk,0.048283316,0.03228662,0.020815447,0.058797084
🤣 ,elonmusk,0.044227548,0.025492689,0.016540442,0.059073903
🔥🔥 ,elonmusk,0.06393678,0.041277755,0.026865844,0.13724333
They saw it coming ,elonmusk,0.052188963,0.02845135,0.024944784,0.0933319
👆 ,elonmusk,0.049481925,0.030576276,0.02018532,0.06429857
Looking at pups soon! ,elonmusk,0.04079577,0.020549957,0.016993614,0.07980989
Congrats! Orbit is not easy. ,elonmusk,0.0664783,0.03394698,0.04616321,0.051150143
10.8 ,elonmusk,0.04702017,0.022589479,0.01707917,0.10821839
🤣 ,elonmusk,0.044227507,0.025492689,0.016540442,0.059073903
"Cells &amp; FSD are massive, the rest is just beauty &amp; romance … but life is empty without those last two ",elonmusk,0.12227827,0.10571135,0.08927487,0.23996437
Several improvements coming via V9.1 on Friday at midnight ,elonmusk,0.03809517,0.030241532,0.015192737,0.14007726
"Pitch control requires more force than yaw &amp; much more force than roll. Also, grid fins closer to or in the wake of the booster are less effective. However, pretty good aero control can technically be achieved with only 2 grid fins, with some effect on accuracy. ",elonmusk,0.05296154,0.045750577,0.028807864,0.057287518
"However, even if it were 16 flights with docking, this is not a problem. SpaceX did more than 16 orbital flights in first half of 2021 &amp; has docked with Station (much harder than docking with our own ship) over 20 times. ",elonmusk,0.027849015,0.022742856,0.01131813,0.0352282
Noted. You should be able to press mic button &amp; say “bug report …” ,elonmusk,0.17914069,0.078519575,0.15703909,0.22136615
"Austin now, but back at Starbase tomorrow ",elonmusk,0.06256082,0.057524033,0.039837636,0.114919804
